year,month,day,breed,gender,spayneuter,zipcode,age
2018,6,25,siberian husky,U,FALSE,11229,NA
2018,6,16,german shepherd,M,FALSE,11224,4
2018,6,30,NA,U,FALSE,11220,NA
2018,6,22,labrador retriever,M,TRUE,11209,1
2018,6,27,chorkie,U,FALSE,11204,NA
2018,6,21,shiba inu,F,TRUE,11223,3
2018,6,22,german shepherd,M,FALSE,11220,5
2018,6,22,german shepherd,M,FALSE,NA,5
2018,6,23,NA,U,FALSE,11237,NA
2018,6,23,petite golden doodle,M,TRUE,11201,4
2018,6,21,pit bull,U,FALSE,11226,NA
2018,6,23,yorkshire terrier,M,FALSE,11235,4
2018,6,23,NA,U,FALSE,112,NA
2018,6,22,golden retriever,U,FALSE,11215,NA
2018,6,16,NA,U,FALSE,11224,NA
2018,7,4,yorkshire terrier,M,FALSE,11236,8
2018,7,4,pit bull,U,FALSE,11233,NA
2018,7,4,german shepherd,U,FALSE,11216,NA
2018,7,3,hound,M,TRUE,11209,2
2018,7,5,bull dog,M,TRUE,11234,11
2018,7,4,small dog,U,FALSE,11236,NA
2018,7,6,NA,M,FALSE,11208,2
2018,7,6,NA,F,TRUE,11203,2
2018,6,22,pit bull,U,FALSE,11233,NA
2018,6,26,NA,U,FALSE,11234,NA
2018,6,24,"poodle, standard",U,FALSE,11230,NA
2018,6,21,sheperd,U,FALSE,11229,NA
2018,6,25,NA,M,FALSE,11207,NA
2018,6,27,NA,U,FALSE,11237,NA
2018,6,25,pit bull,U,FALSE,11223,NA
2018,6,27,labrador,U,FALSE,11219,NA
2018,6,29,dachshund smooth coat,F,TRUE,11236,2
2018,7,9,NA,M,FALSE,11208,5
2018,6,28,NA,U,FALSE,11226,NA
2018,7,4,pomeranian,M,FALSE,11223,8
2018,7,5,spaniel/poodle,M,TRUE,11217,12
2018,7,3,jack russ,U,FALSE,11216,NA
2018,6,28,jack russ,M,TRUE,11234,1
2018,7,3,NA,U,FALSE,11210,NA
2018,5,21,pit bull,U,FALSE,11207,NA
2018,6,30,NA,U,FALSE,11220,NA
2018,7,7,mixed,U,FALSE,11215,NA
2018,6,11,retreiver,U,FALSE,11230,NA
2018,7,7,pit bull,U,FALSE,11203,NA
