Name,Month,Year,Date,Weight,Volume,PlasticBottles,Polystyrene,CigaretteButts,GlassBottles,PlasticBags,Wrappers,SportsBalls,HomesPowered
Professor Trash Wheel,August,2018,2018-08-01,2.46,15,3150,4330,18000,14,1120,8800,0,41
Professor Trash Wheel,August,2019,2019-08-01,5.0600000000000005,30,9200,3680,18200,16,1660,9600,0,84
Professor Trash Wheel,August,2020,2020-08-01,0.61,12,5950,3600,8000,12,1050,4400,0,10
Professor Trash Wheel,August,2021,2021-08-01,8.51,45,15800,2840,21000,54,3580,21200,0,142
Professor Trash Wheel,August,2022,2022-08-01,2.5,15,5400,480,6200,21,210,3200,0,42
Professor Trash Wheel,August,2023,2023-08-01,5.46,30,9300,970,11600,85,820,10900,0,91
Professor Trash Wheel,December,2019,2019-12-01,1.76,15,5900,4800,8800,26,660,3900,0,29
Professor Trash Wheel,December,2020,2020-12-01,2.79,15,5300,3100,9900,9,1480,5400,0,47
Professor Trash Wheel,December,2022,2022-12-01,4.109999999999999,30,7400,520,9800,68,580,7300,0,69
Professor Trash Wheel,December,2023,2023-12-01,2.13,15,4000,380,5500,28,360,3900,0,36
Professor Trash Wheel,February,2017,2017-02-01,7.49,48,24770,20190,41000,58,19750,38770,0,125
Professor Trash Wheel,February,2018,2018-02-01,2.81,30,4550,7340,45000,7,3620,33200,0,47
Professor Trash Wheel,February,2019,2019-02-01,1.88,15,3700,5500,9000,5,1800,4300,0,31
Professor Trash Wheel,February,2020,2020-02-01,1.71,15,5600,3000,12000,18,1040,4800,0,29
Professor Trash Wheel,February,2021,2021-02-01,1.21,15,4400,1200,7200,21,1420,4900,0,20
Professor Trash Wheel,February,2022,2022-02-01,0.93,10,3000,420,4200,48,280,5400,0,16
Professor Trash Wheel,February,2023,2023-02-01,2.41,15,2900,240,3900,32,320,4200,0,40
Professor Trash Wheel,January,2017,2017-01-01,3.37,30,11490,17310,37300,22,8730,32300,0,56
Professor Trash Wheel,January,2018,2018-01-01,0.99,15,7530,9240,22400,6,940,7650,0,17
Professor Trash Wheel,January,2020,2020-01-01,0.94,15,4800,3800,9000,12,980,3800,0,16
Professor Trash Wheel,January,2021,2021-01-01,1.68,15,4900,3000,10500,14,980,7200,0,28
Professor Trash Wheel,January,2022,2022-01-01,1.32,15,2700,300,5300,38,340,3200,0,22
Professor Trash Wheel,July,2017,2017-07-01,5.6899999999999995,45,26060,25360,47000,68,31810,38000,0,95
Professor Trash Wheel,July,2018,2018-07-01,6.81,60,4560,31940,93000,13,3540,37630,0,114
Professor Trash Wheel,July,2019,2019-07-01,3.33,15,3800,2100,7400,12,980,3600,0,56
Professor Trash Wheel,July,2020,2020-07-01,3.49,30,12800,6950,13400,19,1650,11350,0,58
Professor Trash Wheel,July,2021,2021-07-01,4.91,30,9200,2080,15600,45,2480,12100,0,82
Professor Trash Wheel,July,2022,2022-07-01,5.41,30,9500,720,11800,54,590,10000,0,91
Professor Trash Wheel,July,2023,2023-07-01,6.04,30,8300,1060,12300,66,630,8800,0,101
Professor Trash Wheel,June,2017,2017-06-01,2.34,15,7540,8260,14000,12,10320,15430,0,39
Professor Trash Wheel,June,2018,2018-06-01,5.949999999999999,45,3060,27690,74000,11,2760,24220,0,99
Professor Trash Wheel,June,2019,2019-06-01,3.01,30,11000,9600,18500,12,2380,8900,0,50
Professor Trash Wheel,June,2020,2020-06-01,4.720000000000001,30,11500,6800,14500,29,1500,10200,0,79
Professor Trash Wheel,June,2021,2021-06-01,2.91,15,3600,800,6000,21,1500,6400,0,49
Professor Trash Wheel,June,2022,2022-06-01,5.17,25,8500,720,11600,54,710,6200,0,86
Professor Trash Wheel,June,2023,2023-06-01,4.1,30,8000,900,9700,82,770,6200,0,69
Professor Trash Wheel,March,2017,2017-03-01,1.71,15,8210,10340,14000,23,9560,13470,0,29
Professor Trash Wheel,March,2018,2018-03-01,2.32,15,2670,3750,26000,4,1890,20100,0,39
Professor Trash Wheel,March,2019,2019-03-01,2.1,23,12857,10198,25078,6,3637,23800,0,35
Professor Trash Wheel,March,2020,2020-03-01,1.81,15,7200,3400,9800,8,800,6400,0,30
Professor Trash Wheel,March,2021,2021-03-01,2.48,15,5000,1800,6800,18,840,4000,0,41
Professor Trash Wheel,March,2022,2022-03-01,2.01,15,4100,380,6400,20,380,4900,0,34
Professor Trash Wheel,May,2017,2017-05-01,5.42,30,17770,16610,30000,50,25790,33800,0,90
Professor Trash Wheel,May,2018,2018-05-01,1.85,15,9230,8950,28000,2,850,7340,0,31
Professor Trash Wheel,May,2019,2019-05-01,2.01,15,8000,8400,12400,18,1400,2900,0,34
Professor Trash Wheel,May,2020,2020-05-01,1.61,15,5400,4100,7200,11,1000,5600,0,27
Professor Trash Wheel,May,2021,2021-05-01,7.0200000000000005,45,15500,3160,24000,56,5180,15600,0,118
Professor Trash Wheel,May,2022,2022-05-01,3.46,15,4400,500,7200,40,380,5500,0,58
Professor Trash Wheel,November,2017,2017-11-01,0.75,8,8472,11528,33320,0,656,5392,0,13
Professor Trash Wheel,November,2018,2018-11-01,9.639999999999999,60,18500,24250,39400,42,14700,25650,0,161
Professor Trash Wheel,November,2019,2019-11-01,1.81,15,6400,4000,7800,18,940,4200,0,30
Professor Trash Wheel,November,2021,2021-11-01,1.5,15,3900,750,7200,20,960,6400,0,25
Professor Trash Wheel,November,2022,2022-11-01,1.61,15,2900,290,3800,39,340,4200,0,27
Professor Trash Wheel,October,2018,2018-10-01,1.57,15,8400,4400,11000,9,1240,10400,0,26
Professor Trash Wheel,October,2019,2019-10-01,2.02,15,5200,4200,8100,24,540,3200,0,34
Professor Trash Wheel,October,2020,2020-10-01,1.82,15,6400,4200,7200,18,2200,3800,0,30
Professor Trash Wheel,October,2022,2022-10-01,1.32,15,3800,180,4800,14,140,3900,0,22
Professor Trash Wheel,October,2023,2023-10-01,1.28,10,3200,480,5000,34,280,3200,0,21
Professor Trash Wheel,September,2017,2017-09-01,1.47,15,8250,7860,14000,24,8940,12500,0,25
Professor Trash Wheel,September,2018,2018-09-01,2.55,30,16070,6950,23000,13,2050,20580,0,42
Professor Trash Wheel,September,2020,2020-09-01,1.18,15,7200,4200,8800,24,1200,5100,0,20
Professor Trash Wheel,September,2021,2021-09-01,5.17,30,9400,2000,11400,64,2980,8300,0,86
Professor Trash Wheel,September,2022,2022-09-01,5.46,25,8200,510,9200,54,400,9800,0,91
Professor Trash Wheel,September,2023,2023-09-01,4.140000000000001,25,6700,750,9100,69,550,8300,0,70
