fips,human2014,human2016,human2018
13093,49,47.087002,50.527
13095,48,56.134998,58.145
13097,44,53.577,56.877998
13099,39,47.040001,47.655998
13101,44,44.716,51.077
13103,44,41.688999,44.909
13105,44,45.192001,46.276001
13107,48,46.227001,48.653
13109,45,48.321999,51.07
13111,50,45.219002,49.016998
13113,43,48.481998,53.626999
13115,44,44.358002,47.595001
13117,48,45.771,51.660999
13119,43,43.348,45.25
13121,56,62.709999,66.296997
13123,48,44.719002,50.573002
13125,39,40.785999,44.013
13127,45,48.313,51.547001
13129,40,42.439999,46.363998
13131,44,47.063,50.025002
13133,42,45.535999,49.205002
13135,50,52.938,58.249001
13137,45,41.891998,44.679001
13139,47,45.797001,49.467999
13141,42,50.580002,51.293999
13143,42,41.308998,43.383999
13145,42,42.049,44.991001
13147,45,43.226002,47.358002
13149,43,39.737,41.305
13151,46,51.666,55.741001
13153,42,48.480999,51.103001
13155,42,44.429001,46.493
13157,45,42.762001,45.726002
13159,41,44.241001,47.339001
13161,40,42.129002,44.634998
13163,43,49.233002,52.299
13165,46,49.390999,52.455002
13167,42,46.544998,49.199001
13169,45,47.034,48.613998
13171,52,49.618,50.265999
13173,40,44.397999,47.652
13175,38,43.833,47.125
13177,44,42.382,46.716
13179,44,53.068001,55.388
13181,40,44.687,45.82
13183,52,50.637001,52.967999
13185,42,48.27,50.835999
13187,47,42.855999,45.369999
13189,41,51.652,49.569
13191,41,41.334999,50.402
13193,40,47.958,58.470001
13195,43,47.620998,46.875999
13197,52,49.506001,50.691002
13199,43,48.056999,51.214001
13201,40,43.09,44.631001
13205,45,51.999001,55.022999
13207,40,40.497002,43.893002
13209,39,42.592999,45.610001
13211,42,43.245998,47.111
13213,40,42.507,44.876999
13215,48,53.886002,57.279999
13217,44,49.875,53.514999
13219,49,46.014,49.813999
13221,47,44.299,47.438999
13223,44,44.285,48.166
13225,42,51.008999,55.616001
13227,46,43.021999,47.573002
13229,49,41.443001,43.941002
13231,42,39.808998,42.569
13233,47,45.464001,47.227001
13235,39,44.582001,46.549999
13237,42,46.634998,49.507999
13239,43,50.550999,49.617001
13241,47,47.215,52.018002
13243,53,54.292,58.624001
13245,44,54.544998,57.421001
13247,46,55.303001,59.737999
13249,41,43.512001,44.473999
13251,40,45.914001,49.957001
13253,39,47.200001,49.546001
13255,40,45.216,47.303001
13257,48,44.633999,45.907001
13259,48,54.207001,55.139
13261,44,49.723,52.765999
13263,48,53.59,56.014
13265,39,50.597,53.84
13267,40,44.277,48.985001
13269,41,47.117001,48.932999
13271,39,45.138,48.514999
13273,41,49.487999,53.509998
13275,41,46.160999,49.952999
13277,50,47.842999,49.528999
13279,41,44.386002,49.09
13281,51,46.202999,49.477001
13283,39,47.208,51.571999
13285,41,46.327,49.313999
13287,41,46.084,49.255001
13289,50,48.373001,49.263
13291,40,40.41,44.985001
13293,45,46.424999,48.555
13295,42,42.518002,44.554001
13297,43,42.848999,46.250999
13299,44,46.505001,47.726002
13301,40,47.919998,50.547001
13303,39,47.441002,51.234001
13305,42,43.966999,47.43
13307,39,43.818001,44.756001
13309,43,44.73,45.874001
13311,46,42.196999,46.119999
13313,49,47.952999,50.986
13315,40,43.356998,45.452999
13317,41,46.667,49.153
13319,42,45.463001,49.862
13321,41,43.674999,45.919998
15001,60,62.112,66.042999
15003,60,63.228001,67.545998
15005,48,53.400002,64.139
15007,60,61.071999,63.155998
15009,58,60.264999,63.723
16001,49,50.626999,54.419998
16003,44,45.449001,49.394001
16005,45,49.854,53.536999
16007,52,45.212002,46.674
16009,39,44.500999,45.891998
16011,42,44.34,48.002998
16013,44,55.750999,60.116001
16015,44,51.023998,53.569
16017,43,46.896999,50.050999
16019,48,47.151001,50.824001
16021,46,46.501999,46.327
16023,42,42.129002,42.417
16025,42,46.108002,49.186001
16027,41,45.160999,48.331001
16029,40,40.460999,45.952999
16031,52,45.181,48.471001
16033,42,46.164001,52.749001
16035,39,44.749001,48.299
16037,42,45.145,49.776001
16039,45,45.918999,48.159
