fips,year,pincp
36075,2009,30522
36075,2010,31803
36075,2011,32494
36075,2012,33708
36075,2013,33831
36075,2014,34981
36075,2015,36249
36075,2016,36980
36075,2017,39326
36075,2018,40161
36075,2019,42025
36077,1969,3342
36077,1970,3547
36077,1971,3831
36077,1972,4107
36077,1973,4453
36077,1974,4808
36077,1975,5084
36077,1976,5387
36077,1977,5837
36077,1978,6324
36077,1979,6947
36077,1980,7802
36077,1981,8618
36077,1982,9419
36077,1983,9955
36077,1984,11060
36077,1985,11680
36077,1986,12376
36077,1987,13165
36077,1988,13812
36077,1989,15090
36077,1990,15779
36077,1991,16544
36077,1992,17424
36077,1993,17538
36077,1994,17903
36077,1995,18728
36077,1996,19562
36077,1997,20286
36077,1998,21039
36077,1999,22052
36077,2000,22564
36077,2001,23401
36077,2002,23603
36077,2003,24818
36077,2004,26229
36077,2005,26925
36077,2006,28258
36077,2007,28946
36077,2008,31423
36077,2009,31767
36077,2010,32972
36077,2011,34289
36077,2012,35756
36077,2013,36224
36077,2014,37651
36077,2015,39183
36077,2016,40239
36077,2017,42289
36077,2018,43759
36077,2019,45774
36079,1969,4597
36079,1970,4644
36079,1971,5061
36079,1972,5315
36079,1973,5646
36079,1974,6137
36079,1975,6714
36079,1976,7274
36079,1977,8009
36079,1978,9094
36079,1979,10158
36079,1980,11896
36079,1981,13326
36079,1982,14450
36079,1983,15367
36079,1984,17363
36079,1985,18931
36079,1986,20256
36079,1987,21421
36079,1988,23285
36079,1989,24473
36079,1990,25680
36079,1991,26080
36079,1992,27416
36079,1993,28385
36079,1994,28678
36079,1995,29982
36079,1996,31734
36079,1997,33648
36079,1998,35102
36079,1999,37268
36079,2000,39736
36079,2001,41595
36079,2002,41176
36079,2003,41991
36079,2004,43690
36079,2005,44966
36079,2006,47843
36079,2007,50636
36079,2008,51417
36079,2009,49625
36079,2010,50778
36079,2011,52999
36079,2012,61766
36079,2013,55082
36079,2014,57173
36079,2015,59365
36079,2016,60735
36079,2017,62987
36079,2018,66396
36079,2019,69365
36081,1969,5087
36081,1970,5492
36081,1971,5777
36081,1972,6176
36081,1973,6586
36081,1974,7048
36081,1975,7611
36081,1976,7954
36081,1977,8520
36081,1978,9130
36081,1979,9781
36081,1980,10750
36081,1981,12053
36081,1982,13150
36081,1983,14033
36081,1984,15415
36081,1985,16302
36081,1986,17296
36081,1987,18163
36081,1988,19515
36081,1989,21336
36081,1990,22371
36081,1991,22328
36081,1992,22620
36081,1993,22780
36081,1994,23000
36081,1995,23869
36081,1996,24399
36081,1997,25113
36081,1998,25772
36081,1999,26727
36081,2000,28599
36081,2001,29857
36081,2002,29761
36081,2003,30341
36081,2004,31796
36081,2005,32311
36081,2006,34100
36081,2007,36203
36081,2008,36411
36081,2009,36237
36081,2010,37203
36081,2011,38470
36081,2012,39478
36081,2013,39985
36081,2014,41377
36081,2015,43855
36081,2016,44902
36081,2017,47867
36081,2018,50279
36081,2019,53008
36083,1969,3642
36083,1970,3884
36083,1971,4167
36083,1972,4406
36083,1973,4746
36083,1974,5209
36083,1975,5640
36083,1976,6059
36083,1977,6512
36083,1978,7150
36083,1979,7945
36083,1980,8979
36083,1981,9864
36083,1982,10771
36083,1983,11623
36083,1984,12799
36083,1985,13597
36083,1986,14606
36083,1987,15452
36083,1988,16780
36083,1989,18356
36083,1990,19092
36083,1991,19634
36083,1992,20493
36083,1993,21127
36083,1994,22083
36083,1995,22925
36083,1996,23295
36083,1997,24475
36083,1998,25783
36083,1999,27118
36083,2000,28943
36083,2001,29668
36083,2002,29887
36083,2003,30763
36083,2004,31970
36083,2005,32636
36083,2006,34193
36083,2007,35735
36083,2008,37712
36083,2009,38076
36083,2010,38840
36083,2011,39697
36083,2012,40753
36083,2013,41817
36083,2014,42747
36083,2015,44673
36083,2016,45712
36083,2017,47927
36083,2018,49274
36083,2019,51356
36085,1969,4502
36085,1970,4602
36085,1971,4946
36085,1972,5391
36085,1973,5803
36085,1974,6395
36085,1975,7083
36085,1976,7566
36085,1977,8206
36085,1978,8941
36085,1979,9776
36085,1980,11205
36085,1981,12538
36085,1982,13829
36085,1983,14814
36085,1984,16244
36085,1985,17215
36085,1986,18520
36085,1987,19437
36085,1988,20953
36085,1989,22172
36085,1990,23565
36085,1991,23666
36085,1992,24708
36085,1993,25303
36085,1994,26199
36085,1995,27541
36085,1996,28567
36085,1997,30230
36085,1998,30952
36085,1999,32530
36085,2000,34816
36085,2001,36160
36085,2002,35890
36085,2003,36464
36085,2004,37853
36085,2005,38786
36085,2006,40825
36085,2007,43055
36085,2008,43600
36085,2009,42727
36085,2010,43363
36085,2011,44923
36085,2012,46140
36085,2013,46176
36085,2014,48164
36085,2015,51057
36085,2016,52060
36085,2017,54488
36085,2018,56171
36085,2019,58890
36087,1969,4694
36087,1970,4901
36087,1971,5373
36087,1972,5988
36087,1973,6444
36087,1974,7036
36087,1975,7712
36087,1976,8294
36087,1977,9033
36087,1978,9950
36087,1979,11151
36087,1980,12701
36087,1981,14233
36087,1982,15383
36087,1983,16429
36087,1984,18207
36087,1985,19367
36087,1986,20469
36087,1987,21914
36087,1988,24294
36087,1989,25871
36087,1990,26805
36087,1991,27086
36087,1992,28388
36087,1993,29162
36087,1994,30883
36087,1995,31833
36087,1996,33499
36087,1997,35984
36087,1998,37650
36087,1999,39308
36087,2000,42431
36087,2001,41524
36087,2002,40902
36087,2003,40905
36087,2004,42930
36087,2005,44057
36087,2006,46779
36087,2007,49499
36087,2008,50069
36087,2009,48122
36087,2010,48573
36087,2011,50423
36087,2012,52330
36087,2013,51700
36087,2014,53442
36087,2015,55439
36087,2016,55928
36087,2017,58184
36087,2018,60568
36087,2019,63167
36089,1969,2875
36089,1970,3075
36089,1971,3351
36089,1972,3477
36089,1973,3839
36089,1974,4247
36089,1975,4538
36089,1976,4785
36089,1977,5083
36089,1978,5514
36089,1979,6070
36089,1980,6869
36089,1981,7626
36089,1982,8353
36089,1983,9045
36089,1984,9842
36089,1985,10334
36089,1986,10963
36089,1987,11479
36089,1988,11920
36089,1989,13150
36089,1990,13949
36089,1991,14447
36089,1992,15431
36089,1993,15590
36089,1994,16243
36089,1995,16612
36089,1996,17307
36089,1997,18147
36089,1998,19364
36089,1999,19978
36089,2000,20987
36089,2001,21173
36089,2002,21563
36089,2003,22526
36089,2004,23400
36089,2005,23845
36089,2006,24895
36089,2007,26359
36089,2008,28187
36089,2009,28437
36089,2010,29630
36089,2011,30573
36089,2012,31359
36089,2013,32200
36089,2014,32987
36089,2015,34020
36089,2016,34729
36089,2017,37054
36089,2018,37892
36089,2019,39697
36091,1969,3701
36091,1970,3877
36091,1971,4168
36091,1972,4436
36091,1973,4750
36091,1974,5225
36091,1975,5622
36091,1976,6099
36091,1977,6615
36091,1978,7351
36091,1979,8235
36091,1980,9476
36091,1981,10706
36091,1982,11848
36091,1983,12588
36091,1984,13993
36091,1985,15039
36091,1986,16138
36091,1987,17234
36091,1988,18395
36091,1989,19899
36091,1990,20619
36091,1991,21257
36091,1992,22461
36091,1993,23207
36091,1994,23812
36091,1995,24542
36091,1996,25653
36091,1997,27300
36091,1998,28823
36091,1999,30567
36091,2000,32788
36091,2001,34019
36091,2002,34134
36091,2003,35368
36091,2004,37151
36091,2005,39483
36091,2006,42128
36091,2007,44341
36091,2008,46698
36091,2009,46709
36091,2010,48920
36091,2011,51124
36091,2012,53431
36091,2013,54129
36091,2014,55812
36091,2015,61020
36091,2016,62577
36091,2017,65315
36091,2018,70127
36091,2019,72757
36093,1969,4202
36093,1970,4681
36093,1971,5122
36093,1972,5371
36093,1973,5790
36093,1974,6302
36093,1975,6805
36093,1976,7333
36093,1977,7955
36093,1978,8622
36093,1979,9482
36093,1980,10646
36093,1981,11904
36093,1982,13025
36093,1983,13752
36093,1984,15065
36093,1985,15942
36093,1986,16806
36093,1987,17682
36093,1988,18715
36093,1989,20450
36093,1990,21409
36093,1991,22115
36093,1992,23513
36093,1993,24186
36093,1994,24936
36093,1995,25798
36093,1996,26895
36093,1997,28373
36093,1998,29136
36093,1999,28585
36093,2000,30142
36093,2001,36001
36093,2002,36964
36093,2003,36945
36093,2004,38274
36093,2005,38443
36093,2006,39958
36093,2007,41179
36093,2008,42537
36093,2009,42002
36093,2010,42477
36093,2011,43292
36093,2012,43862
36093,2013,45057
36093,2014,45859
36093,2015,46182
36093,2016,47517
36093,2017,49329
36093,2018,49687
36093,2019,51697
36095,1969,3215
36095,1970,3503
36095,1971,3870
36095,1972,3815
36095,1973,4024
36095,1974,4346
36095,1975,4687
36095,1976,4974
36095,1977,5345
36095,1978,6078
36095,1979,6609
36095,1980,7286
36095,1981,8067
36095,1982,8771
36095,1983,9266
36095,1984,10267
36095,1985,11020
36095,1986,11912
36095,1987,12504
36095,1988,13209
36095,1989,14743
36095,1990,15456
36095,1991,16027
36095,1992,17041
36095,1993,17981
36095,1994,18983
36095,1995,19559
36095,1996,19514
36095,1997,20578
36095,1998,22239
36095,1999,23095
36095,2000,24722
36095,2001,25001
36095,2002,24513
36095,2003,24937
36095,2004,25815
36095,2005,25991
36095,2006,26433
36095,2007,27485
36095,2008,29211
36095,2009,30074
