X,Y,objectid
-73.86554850561377,40.738425756112804,6
-73.86492970017666,40.73689485175653,6
-73.86582282944016,40.736629809007816,6
-73.86451198956482,40.73407164841783,6
-73.86822096038215,40.73285975284032,6
-73.86786146448776,40.732697479762386,6
-73.868665580791955,40.73221533231551,6
-73.86992762206906,40.73034311103547,6
-73.8715037432334,40.729566646826726,6
-73.8714118417038,40.72915893939594,6
-73.87160566578396,40.729112059029546,6
-73.87421429612802,40.73006125209317,6
-73.8740460157219,40.73036407154951,6
-73.87450966371898,40.73061869880521,6
-73.87695206596906,40.72983334390367,6
-73.87950506985118,40.72878398756378,6
-73.88109300589315,40.72849258549084,6
-73.88520617260853,40.72810152589841,6
