make,city_mpg,highway_mpg
Mazda,20,26
American Motors Corporation,15,17
Mazda,20,28
Mazda,23,31
Mazda,18,24
Mazda,18,24
Mercedes-Benz,17,23
Mitsubishi,24,29
Mitsubishi,28,35
Mitsubishi,23,30
Mitsubishi,23,30
Mitsubishi,21,28
American Motors Corporation,15,20
Mitsubishi,21,29
Mitsubishi,17,20
Mitsubishi,17,22
Mitsubishi,19,25
Mitsubishi,19,26
Mitsubishi,19,26
Mitsubishi,18,23
Mitsubishi,16,22
Mitsubishi,17,23
Mitsubishi,16,22
Chevrolet,12,15
Plymouth,24,29
Plymouth,28,35
Plymouth,23,30
Plymouth,23,30
Plymouth,21,28
Plymouth,21,29
Plymouth,17,22
Plymouth,17,20
Plymouth,19,25
Plymouth,18,23
Dodge,21,28
Chevrolet,12,16
Plymouth,19,26
Plymouth,19,26
Pontiac,17,26
Pontiac,17,26
Pontiac,15,23
Pontiac,15,24
Pontiac,31,36
Pontiac,38,45
Pontiac,21,29
Pontiac,22,32
Chevrolet,15,20
Pontiac,18,26
Pontiac,17,26
Rolls-Royce,9,14
Rolls-Royce,9,14
Saab,16,19
Saab,18,24
Saab,18,24
Saab,16,20
Saab,18,24
Saturn,23,32
Chevrolet,11,15
Saturn,21,29
Saturn,24,34
Saturn,22,31
Subaru,21,27
Subaru,22,29
Subaru,19,26
Subaru,21,26
Subaru,28,33
Subaru,24,29
Subaru,15,23
Chevrolet,10,13
Subaru,15,23
Suzuki,25,31
Suzuki,31,39
Suzuki,24,32
Toyota,23,29
Toyota,23,31
Toyota,21,27
Toyota,21,27
Toyota,23,26
Toyota,27,33
Chevrolet,15,20
Toyota,24,31
Volkswagen,16,23
Volkswagen,16,22
Acura,16,21
Acura,17,22
Acura,16,23
Acura,16,24
Acura,18,24
Acura,18,24
Alfa Romeo,14,20
Chevrolet,18,21
Alfa Romeo,15,22
Audi,16,22
Audi,13,18
Audi,16,22
Audi,17,22
Audi,16,21
Audi,16,22
Audi,16,24
Audi,18,24
BMW,16,23
Chevrolet,18,23
BMW,17,26
BMW,15,24
BMW,15,22
BMW,15,23
BMW,15,21
BMW,15,21
Buick,19,29
Buick,19,29
Buick,18,26
Chevrolet,22,28
Chevrolet,19,24
Chevrolet,22,31
Chevrolet,18,27
Chevrolet,18,26
Chevrolet,18,27
Chevrolet,17,26
Chevrolet,22,28
Chevrolet,18,26
Chevrolet,18,27
Chrysler,19,25
Chrysler,18,24
Chevrolet,15,22
Chrysler,18,26
Nissan,19,26
Nissan,21,28
Dodge,21,27
Dodge,23,30
Dodge,19,25
Dodge,21,27
Dodge,17,22
Dodge,15,23
Ford,21,27
Chevrolet,15,22
Ford,23,29
Ford,23,32
Ford,26,34
Ford,19,25
Ford,21,30
Ford,18,22
Ford,18,26
Geo,23,26
Geo,23,31
Geo,23,29
Dodge,21,28
Chevrolet,14,21
Geo,24,31
Kia,22,27
Kia,23,30
Honda,20,27
Honda,20,27
Honda,22,29
Honda,22,28
Hyundai,19,26
Hyundai,20,26
Hyundai,19,26
Dodge,10,12
Hyundai,23,32
Infiniti,19,26
Infiniti,21,29
Jaguar,11,15
Jaguar,15,22
Lexus,16,22
Mercury,19,25
Mercury,21,30
Mercury,18,22
Mercury,18,26
Dodge,10,12
Mercury,21,27
Mercury,23,29
Mercury,23,32
Mercury,26,34
Mazda,21,29
Mazda,20,26
Mazda,24,33
Mazda,21,27
Mazda,23,30
Mazda,22,29
Dodge,8,12
Mazda,25,33
Mazda,24,32
Mercedes-Benz,19,26
Mercedes-Benz,18,24
Mercedes-Benz,17,23
Mercedes-Benz,16,22
Mercedes-Benz,14,18
Mercedes-Benz,13,18
Mercedes-Benz,11,16
Mitsubishi,16,22
Dodge,17,23
Mitsubishi,16,22
Mitsubishi,18,24
Mitsubishi,19,26
Mitsubishi,21,28
Mitsubishi,19,27
Oldsmobile,19,29
Oldsmobile,18,28
Oldsmobile,19,29
Oldsmobile,21,32
Oldsmobile,18,27
Dodge,17,23
Oldsmobile,18,26
Plymouth,21,27
Plymouth,23,30
Plymouth,19,25
Plymouth,21,27
Plymouth,17,22
Plymouth,15,23
Pontiac,19,29
Pontiac,19,29
Pontiac,18,27
Ford,23,27
Pontiac,18,27
Pontiac,21,32
Pontiac,18,26
Rolls-Royce,9,15
Saturn,23,32
Saturn,21,29
Saturn,22,31
Saturn,24,34
Subaru,19,26
Subaru,20,28
Ford,15,20
Subaru,18,24
Subaru,18,24
Subaru,16,21
Subaru,17,23
Toyota,23,27
Toyota,23,31
Toyota,23,29
Toyota,23,31
Volkswagen,18,26
Volkswagen,21,29
Ford,16,20
Volkswagen,18,25
Volkswagen,21,28
Volkswagen,16,23
Volkswagen,16,23
Volkswagen,16,23
BMW,15,21
BMW,15,21
BMW,11,17
Buick,22,28
Buick,17,26
Ford,13,13
Buick,17,26
Buick,17,26
Cadillac,15,23
Cadillac,15,23
Chevrolet,17,26
Chevrolet,15,24
Nissan,17,24
Nissan,17,23
Nissan,18,24
Dodge,19,25
Ferrari,9,15
Dodge,17,22
Ford,15,20
Dodge,19,24
Dodge,21,27
Dodge,18,24
Dodge,17,22
Ford,17,26
Ford,18,27
Ford,16,24
Ford,16,24
Ford,17,26
Ford,16,22
Ford,15,17
Ford,17,24
Ford,16,24
Ford,16,23
Hyundai,18,25
Hyundai,18,24
Hyundai,16,22
Hyundai,18,26
Hyundai,19,26
Hyundai,16,22
Infiniti,15,20
Ford,12,16
Infiniti,14,19
Lexus,16,21
Lexus,16,22
Mercury,17,24
Mercury,16,23
Lincoln,16,23
Mercury,18,27
Mercury,17,26
Mazda,20,28
Mazda,23,31
Ford,11,13
Mazda,18,24
Mazda,18,24
Mazda,17,22
Oldsmobile,22,28
Oldsmobile,17,26
Oldsmobile,17,26
Oldsmobile,15,24
Plymouth,19,24
Plymouth,19,25
Plymouth,21,27
Ford,10,12
Plymouth,18,24
Plymouth,17,22
Pontiac,17,26
Pontiac,15,24
Rolls-Royce,9,14
Rolls-Royce,9,15
Rolls-Royce,9,14
Saab,17,24
Saab,18,26
Saab,17,23
GMC,12,15
Saab,16,23
Toyota,18,26
Toyota,20,27
Toyota,16,23
Volvo,17,24
Volvo,18,25
Volvo,18,26
Volvo,17,22
Volvo,17,24
Volvo,15,23
GMC,12,16
Buick,17,26
Buick,15,24
Buick,17,25
Buick,15,23
Cadillac,15,23
Cadillac,14,24
Cadillac,15,23
Chevrolet,16,24
