fips,geoname,pincp1969,pincp1970,pincp1971,pincp1972,pincp1973,pincp1974,pincp1975,pincp1976,pincp1977,pincp1978,pincp1979,pincp1980,pincp1981,pincp1982,pincp1983,pincp1984,pincp1985,pincp1986,pincp1987,pincp1988,pincp1989,pincp1990,pincp1991,pincp1992,pincp1993,pincp1994,pincp1995,pincp1996,pincp1997,pincp1998,pincp1999,pincp2000,pincp2001,pincp2002,pincp2003,pincp2004,pincp2005,pincp2006,pincp2007,pincp2008,pincp2009,pincp2010,pincp2011,pincp2012,pincp2013,pincp2014,pincp2015,pincp2016,pincp2017,pincp2018,pincp2019
36077,"Otsego, NY",3342,3547,3831,4107,4453,4808,5084,5387,5837,6324,6947,7802,8618,9419,9955,11060,11680,12376,13165,13812,15090,15779,16544,17424,17538,17903,18728,19562,20286,21039,22052,22564,23401,23603,24818,26229,26925,28258,28946,31423,31767,32972,34289,35756,36224,37651,39183,40239,42289,43759,45774
36079,"Putnam, NY",4597,4644,5061,5315,5646,6137,6714,7274,8009,9094,10158,11896,13326,14450,15367,17363,18931,20256,21421,23285,24473,25680,26080,27416,28385,28678,29982,31734,33648,35102,37268,39736,41595,41176,41991,43690,44966,47843,50636,51417,49625,50778,52999,61766,55082,57173,59365,60735,62987,66396,69365
36081,"Queens, NY",5087,5492,5777,6176,6586,7048,7611,7954,8520,9130,9781,10750,12053,13150,14033,15415,16302,17296,18163,19515,21336,22371,22328,22620,22780,23000,23869,24399,25113,25772,26727,28599,29857,29761,30341,31796,32311,34100,36203,36411,36237,37203,38470,39478,39985,41377,43855,44902,47867,50279,53008
36083,"Rensselaer, NY",3642,3884,4167,4406,4746,5209,5640,6059,6512,7150,7945,8979,9864,10771,11623,12799,13597,14606,15452,16780,18356,19092,19634,20493,21127,22083,22925,23295,24475,25783,27118,28943,29668,29887,30763,31970,32636,34193,35735,37712,38076,38840,39697,40753,41817,42747,44673,45712,47927,49274,51356
36085,"Richmond, NY",4502,4602,4946,5391,5803,6395,7083,7566,8206,8941,9776,11205,12538,13829,14814,16244,17215,18520,19437,20953,22172,23565,23666,24708,25303,26199,27541,28567,30230,30952,32530,34816,36160,35890,36464,37853,38786,40825,43055,43600,42727,43363,44923,46140,46176,48164,51057,52060,54488,56171,58890
36087,"Rockland, NY",4694,4901,5373,5988,6444,7036,7712,8294,9033,9950,11151,12701,14233,15383,16429,18207,19367,20469,21914,24294,25871,26805,27086,28388,29162,30883,31833,33499,35984,37650,39308,42431,41524,40902,40905,42930,44057,46779,49499,50069,48122,48573,50423,52330,51700,53442,55439,55928,58184,60568,63167
36089,"St. Lawrence, NY",2875,3075,3351,3477,3839,4247,4538,4785,5083,5514,6070,6869,7626,8353,9045,9842,10334,10963,11479,11920,13150,13949,14447,15431,15590,16243,16612,17307,18147,19364,19978,20987,21173,21563,22526,23400,23845,24895,26359,28187,28437,29630,30573,31359,32200,32987,34020,34729,37054,37892,39697
36091,"Saratoga, NY",3701,3877,4168,4436,4750,5225,5622,6099,6615,7351,8235,9476,10706,11848,12588,13993,15039,16138,17234,18395,19899,20619,21257,22461,23207,23812,24542,25653,27300,28823,30567,32788,34019,34134,35368,37151,39483,42128,44341,46698,46709,48920,51124,53431,54129,55812,61020,62577,65315,70127,72757
36093,"Schenectady, NY",4202,4681,5122,5371,5790,6302,6805,7333,7955,8622,9482,10646,11904,13025,13752,15065,15942,16806,17682,18715,20450,21409,22115,23513,24186,24936,25798,26895,28373,29136,28585,30142,36001,36964,36945,38274,38443,39958,41179,42537,42002,42477,43292,43862,45057,45859,46182,47517,49329,49687,51697
36095,"Schoharie, NY",3215,3503,3870,3815,4024,4346,4687,4974,5345,6078,6609,7286,8067,8771,9266,10267,11020,11912,12504,13209,14743,15456,16027,17041,17981,18983,19559,19514,20578,22239,23095,24722,25001,24513,24937,25815,25991,26433,27485,29211,30074,30638,31482,32896,33592,34847,36007,37515,39716,40989,43113
36097,"Schuyler, NY",3272,3442,3691,3821,4265,4655,4954,5263,5720,6149,6702,7699,8494,8969,9400,10156,10737,11474,11933,12863,13655,13992,14590,15185,15679,16335,16946,17934,18457,19298,20937,22846,22906,23031,23801,25327,25998,26666,28232,30059,31014,32906,34295,35459,36344,38075,39298,39271,40988,41513,43262
36099,"Seneca, NY",3399,3778,4088,4451,4964,5445,5861,6133,6559,7068,7820,9039,9938,10774,11477,12725,13159,13785,14475,15487,16734,17488,17885,18629,19485,19806,20330,20418,21513,22390,23030,24052,23290,23325,23938,25471,25651,26454,27631,29479,29721,31040,31996,33072,33408,34267,35034,35566,38190,38553,40534
