id,GeoName,belief,perc
5107,"Phillips County, Arkansas",human,51.875
5109,"Pike County, Arkansas",happening,60.546
5109,"Pike County, Arkansas",human,45.037
5111,"Poinsett County, Arkansas",happening,58.967
5111,"Poinsett County, Arkansas",human,44.039
5113,"Polk County, Arkansas",happening,60.404
5113,"Polk County, Arkansas",human,45.924
5115,"Pope County, Arkansas",happening,63.429
5115,"Pope County, Arkansas",human,47.769
5117,"Prairie County, Arkansas",happening,61.913
5117,"Prairie County, Arkansas",human,46.749
5119,"Pulaski County, Arkansas",happening,75.423
5119,"Pulaski County, Arkansas",human,59.737
5121,"Randolph County, Arkansas",happening,58.56
5121,"Randolph County, Arkansas",human,44.062
5123,"St. Francis County, Arkansas",happening,68.579
5123,"St. Francis County, Arkansas",human,49.786
5125,"Saline County, Arkansas",happening,60.137
5125,"Saline County, Arkansas",human,44.088
5127,"Scott County, Arkansas",happening,59.667
5127,"Scott County, Arkansas",human,45.597
5129,"Searcy County, Arkansas",happening,61.979
5129,"Searcy County, Arkansas",human,46.302
5131,"Sebastian County, Arkansas",happening,68.526
5131,"Sebastian County, Arkansas",human,51.139
5133,"Sevier County, Arkansas",happening,66.978
5133,"Sevier County, Arkansas",human,53.075
5135,"Sharp County, Arkansas",happening,61.611
5135,"Sharp County, Arkansas",human,47.6
5137,"Stone County, Arkansas",happening,63.917
5137,"Stone County, Arkansas",human,46.745
5139,"Union County, Arkansas",happening,60.566
5139,"Union County, Arkansas",human,43.208
5141,"Van Buren County, Arkansas",happening,60.649
5141,"Van Buren County, Arkansas",human,46.066
5143,"Washington County, Arkansas",happening,70.647
5143,"Washington County, Arkansas",human,54.499
5145,"White County, Arkansas",happening,59.632
5145,"White County, Arkansas",human,43.083
5147,"Woodruff County, Arkansas",happening,64.039
5147,"Woodruff County, Arkansas",human,46.57
5149,"Yell County, Arkansas",happening,62.513
5149,"Yell County, Arkansas",human,46.747
6001,"Alameda County, California",happening,86.399
6001,"Alameda County, California",human,73.188
6003,"Alpine County, California",happening,77.877
6003,"Alpine County, California",human,62.769
6005,"Amador County, California",happening,70.152
6005,"Amador County, California",human,51.875
6007,"Butte County, California",happening,71.838
6007,"Butte County, California",human,53.654
6009,"Calaveras County, California",happening,69.061
6009,"Calaveras County, California",human,51.084
6011,"Colusa County, California",happening,69.546
6011,"Colusa County, California",human,56.159
6013,"Contra Costa County, California",happening,80.457
6013,"Contra Costa County, California",human,63.408
6015,"Del Norte County, California",happening,70.735
6015,"Del Norte County, California",human,54.69
6017,"El Dorado County, California",happening,70.281
6017,"El Dorado County, California",human,54.094
6019,"Fresno County, California",happening,73.996
6019,"Fresno County, California",human,57.1
6021,"Glenn County, California",happening,67.98
6021,"Glenn County, California",human,52.174
6023,"Humboldt County, California",happening,79.289
6023,"Humboldt County, California",human,62.565
6025,"Imperial County, California",happening,77.647
6025,"Imperial County, California",human,64.204
6027,"Inyo County, California",happening,74.932
6027,"Inyo County, California",human,58.534
6029,"Kern County, California",happening,70.848
6029,"Kern County, California",human,55.419
6031,"Kings County, California",happening,71.005
6031,"Kings County, California",human,57.359
6033,"Lake County, California",happening,75.131
6033,"Lake County, California",human,58.207
