yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,X2B,X3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,TB,WinPct,rpg,hrpg,tbpg,kpg,k2bb,whip
2010,NL,CHN,CHC,C,5,162,81,75,87,N,N,N,N,685,5512,1414,298,27,149,479,1236,55,31,50,38,767,668,4.18,1,14,40,4310,1409,154,605,1268,126,137,0.979,Chicago Cubs,Wrigley Field,3062973,108,108,CHC,CHN,CHN,2213,0.46296296296296297,4.228395061728395,0.9197530864197532,13.660493827160494,7.62962962962963,2.580375782881002,1.3176334106728538
2010,NL,CIN,CIN,C,1,162,81,91,71,Y,N,N,N,790,5579,1515,293,30,188,522,1218,93,43,68,50,685,648,4.01,4,9,43,4359,1404,158,524,1130,72,142,0.988,Cincinnati Reds,Great American Ball Park,2060550,99,99,CIN,CIN,CIN,2432,0.5617283950617284,4.8765432098765435,1.160493827160494,15.012345679012345,7.518518518518518,2.3333333333333335,1.401927047487956
2010,AL,CLE,CLE,C,4,162,81,69,93,N,N,N,N,646,5487,1362,290,20,128,545,1184,91,33,64,33,752,684,4.3,10,4,34,4299,1477,147,572,967,110,179,0.982,Cleveland Indians,Jacobs Field,1394812,93,93,CLE,CLE,CLE,2076,0.42592592592592593,3.9876543209876543,0.7901234567901234,12.814814814814817,7.308641975308642,2.1724770642201836,1.330774598743894
2010,NL,COL,COL,W,3,162,81,83,79,N,N,N,N,770,5530,1452,270,54,173,585,1274,99,42,47,47,717,663,4.14,6,12,35,4326,1405,139,525,1234,101,182,0.984,Colorado Rockies,Coors Field,2875245,115,115,COL,COL,COL,2349,0.5123456790123457,4.753086419753086,1.067901234567901,14.5,7.864197530864198,2.1777777777777776,1.412621359223301
2010,AL,DET,DET,C,3,162,81,81,81,N,N,N,N,751,5643,1515,308,32,152,546,1147,69,30,41,41,743,690,4.3,6,5,32,4333,1445,142,537,1056,109,171,0.982,Detroit Tigers,Comerica Park,2461237,101,101,DET,DET,DET,2343,0.5,4.635802469135802,0.9382716049382716,14.462962962962964,7.080246913580247,2.100732600732601,1.4269559196861297
2010,NL,FLO,FLA,E,3,162,81,80,82,N,N,N,N,719,5531,1403,294,37,152,514,1375,92,26,55,43,717,652,4.08,5,17,39,4315,1433,134,549,1168,123,130,0.979,Florida Marlins,Dolphin Stadium,1535226,105,104,FLA,FLO,FLO,2227,0.49382716049382713,4.438271604938271,0.9382716049382716,13.746913580246911,8.487654320987655,2.6750972762645913,1.33279258400927
2010,NL,HOU,HOU,C,4,162,81,76,86,N,N,N,N,611,5452,1348,252,25,108,415,1025,100,36,33,29,729,654,4.09,4,11,45,4318,1446,140,548,1210,103,135,0.983,Houston Astros,Minute Maid Park,2331490,95,96,HOU,HOU,HOU,1974,0.4691358024691358,3.771604938271605,0.6666666666666666,12.185185185185183,6.327160493827161,2.4698795180722892,1.2248726262158407
2010,AL,KCA,KCR,C,5,162,81,67,95,N,N,N,N,676,5604,1534,279,31,121,471,905,115,50,35,53,845,794,4.97,7,3,44,4310,1553,176,551,1035,121,138,0.98,Kansas City Royals,Kauffman Stadium,1615324,99,101,KCR,KCA,KCA,2238,0.41358024691358025,4.172839506172839,0.7469135802469136,13.814814814814817,5.58641975308642,1.921443736730361,1.3955916473317866
2010,AL,LAA,ANA,W,3,162,81,80,82,N,N,N,N,681,5488,1363,276,19,155,466,1070,104,52,52,37,702,651,4.04,10,9,39,4348,1422,148,565,1130,113,116,0.981,Los Angeles Angels of Anaheim,Angel Stadium,3250816,98,98,LAA,ANA,ANA,2142,0.49382716049382713,4.203703703703703,0.9567901234567902,13.22222222222222,6.604938271604938,2.296137339055794,1.2619595216191353
2010,NL,LAN,LAD,W,4,162,81,80,82,N,N,N,N,667,5426,1368,270,29,120,533,1184,92,50,46,50,692,643,4.01,4,16,41,4325,1323,134,539,1274,98,124,0.984,Los Angeles Dodgers,Dodger Stadium,3562320,95,95,LAD,LAN,LAN,2056,0.49382716049382713,4.117283950617284,0.7407407407407407,12.691358024691358,7.308641975308642,2.221388367729831,1.3186127167630055
