tconst,title_type,primary_title,simple_title,year,runtime_minutes,average_rating,num_votes
tt0122272,tvMovie,Stubby Pringle's Christmas,stubby pringles christmas,1978,55,7.5,118
tt0122494,movie,How the Toys Saved Christmas,how the toys saved christmas,1996,93,6.5,585
tt0123179,tvMovie,Mister Magoo's Christmas Carol,mister magoos christmas carol,1962,53,7.6,3103
tt0124013,tvMovie,Mr. Willowby's Christmas Tree,mr willowbys christmas tree,1995,30,6.1,270
tt0125465,movie,Last Holiday,last holiday,1996,65,7.6,25
tt0125945,movie,Holiday Hookers,holiday hookers,1976,97,5.4,98
tt0126946,tvMovie,Holiday in Your Heart,holiday in your heart,1997,96,5.6,318
tt0128083,movie,The Boy Who Saved Christmas,the boy who saved christmas,1998,94,3.1,198
tt0128995,tvMovie,The Christmas Raccoons,the christmas raccoons,1980,30,7,156
tt0129145,movie,Holiday's with Pay,holidays with pay,1948,115,5.5,41
tt0129359,tvMovie,On the 2nd Day of Christmas,on the 2nd day of christmas,1997,96,6.1,894
tt0129827,tvMovie,A Christmas Reunion,a christmas reunion,1994,132,6,87
tt0135187,tvMovie,A Christmas Memory,a christmas memory,1997,96,7,792
tt0135412,movie,Apollo Goes on Holiday,apollo goes on holiday,1968,88,6,223
tt0135467,tvMovie,I'll Be Home for Christmas,ill be home for christmas,1997,94,6.3,321
tt0135636,tvMovie,Christopher's Christmas Mission,christophers christmas mission,1975,23,8,2726
tt0136399,tvMovie,"Merry Christmas, George Bailey",merry christmas george bailey,1997,60,7.3,151
tt0136444,tvMovie,The Christmas Orange,the christmas orange,1996,119,7.1,42
tt0136755,tvMovie,The Christmas List,the christmas list,1997,96,6.7,1449
tt0137000,tvMovie,A Holiday for Love,a holiday for love,1996,105,6.4,737
tt0137044,movie,Home for Christmas,home for christmas,1975,89,6.5,102
tt0137098,movie,Bloody Christmas,bloody christmas,1951,95,6.7,61
tt0139393,tvMovie,Johann's Gift to Christmas,johanns gift to christmas,1991,23,6.2,26
tt0140605,tvMovie,The Teddy Bears' Christmas,the teddy bears christmas,1992,30,8.1,142
tt0140825,movie,Christmas in August,christmas in august,1998,97,7.6,3855
tt0144827,tvMovie,John Grin's Christmas,john grins christmas,1986,50,8.9,37
tt0144828,tvMovie,Christmas in America,christmas in america,1990,NA,4.2,26
tt0155110,video,Richie Rich's Christmas Wish,richie richs christmas wish,1998,84,4,2475
tt0155570,tvMovie,Bugs Bunny's Holiday Diet,bugs bunnys holiday diet,1979,30,6.4,118
tt0155753,movie,I'll Be Home for Christmas,ill be home for christmas,1998,86,5.5,11463
tt0156400,tvMovie,The Christmas Wish,the christmas wish,1998,93,6.9,768
tt0158515,tvMovie,Nilus the Sandman: The Boy Who Dreamed Christmas,nilus the sandman the boy who dreamed christmas,1991,30,6.8,41
tt0158530,movie,Merry Christmas... Happy New Year,merry christmas happy new year,1989,100,6.2,130
tt0164648,tvMovie,A Holiday to Remember,a holiday to remember,1995,90,6.1,669
tt0164654,movie,Hot Pants Holiday,hot pants holiday,1971,84,3.5,15
tt0166960,video,An All Dogs Christmas Carol,an all dogs christmas carol,1998,73,4.9,1554
tt0167248,movie,Lassie: A Christmas Tail,lassie a christmas tail,1963,NA,5.9,29
tt0170016,movie,How the Grinch Stole Christmas,how the grinch stole christmas,2000,104,6.3,276568
tt0170547,movie,Santa's Christmas Circus,santas christmas circus,1966,60,2,187
tt0172238,tvMovie,A Child's Christmas in Wales,a childs christmas in wales,1987,55,7.7,629
tt0173731,tvMovie,Christmas at Home,christmas at home,1990,60,8.5,36
tt0174550,tvMovie,A Christmas for Boomer,a christmas for boomer,1979,48,7.7,20
tt0176292,tvMovie,Christmas Wafer,christmas wafer,1977,64,7.3,29
tt0176987,tvMovie,A Merry Mirthworm Christmas,a merry mirthworm christmas,1984,24,7,58
tt0177248,video,The Spirit of Christmas,the spirit of christmas,1998,52,4.3,24
tt0177398,video,You're Invited to Mary-Kate & Ashley's Christmas Party,youre invited to marykate  ashleys christmas party,1997,26,4.9,126
tt0178787,movie,The Poor People's Christmas,the poor peoples christmas,1947,71,5.4,25
tt0179681,movie,Blue Christmas,blue christmas,1998,NA,8.7,12
tt0179682,tvMovie,"Bluetoes, the Christmas Elf",bluetoes the christmas elf,1988,23,7.5,96
tt0180860,tvMovie,Naked City: A Killer Christmas,naked city a killer christmas,1998,95,5.1,214
tt0180984,movie,Scream Queens' Naked Christmas,scream queens naked christmas,1996,60,4.4,67
tt0181570,tvMovie,"Happy Christmas, Miss King",happy christmas miss king,1998,120,7.5,625
tt0182015,tvMovie,A Cosmic Christmas,a cosmic christmas,1977,26,6.7,235
tt0182307,movie,Husband's Holiday,husbands holiday,1975,90,6.3,65
