fips,year,unempl_rate
36113,2019,4.4000001
36113,2020,8.3999996
36115,2012,8.3999996
36115,2013,7.6999998
36115,2014,6.0999999
36115,2015,5.0999999
36115,2016,4.6999998
36115,2017,4.5999999
36115,2018,4.1999998
36115,2019,3.9000001
36115,2020,7.1999998
36117,2012,8.6999998
36117,2013,7.8000002
36117,2014,6.1999998
36117,2015,5.4000001
36117,2016,5.0999999
36117,2017,4.9000001
36117,2018,4.0999999
36117,2019,3.9000001
36117,2020,7.4000001
36119,2012,7.4000001
36119,2013,6.4000001
36119,2014,5.1999998
36119,2015,4.5999999
36119,2016,4.4000001
36119,2017,4.5
36119,2018,3.9000001
36119,2019,3.5999999
36119,2020,8.3999996
36121,2012,9
36121,2013,8.1000004
36121,2014,6.5999999
36121,2015,5.6999998
36121,2016,5.4000001
36121,2017,5.5999999
36121,2018,4.5999999
36121,2019,4.1999998
36121,2020,7.5
36123,2012,7.9000001
36123,2013,7
36123,2014,5.6999998
36123,2015,5
36123,2016,4.5
36123,2017,4.4000001
36123,2018,3.8
36123,2019,3.5999999
36123,2020,6.5
