hh_id,gender,schooling,region,year,saving3000below,pension_saving,family_size,net_asset,public_pension,home_owner,age,age_sq,hh_expenditure,hh_income
2745,Male,Bachelor's Degree,"New York, NY",2005,FALSE,3482.742346343866,4,-141051.08000000002,TRUE,TRUE,44,1936,4165.362143330192,7836.174125185727
2747,Male,Bachelor's Degree,"Jacksonville, FL",2005,FALSE,3622.0523547609682,4,11609.143,TRUE,TRUE,40,1600,6686.864776492294,9055.130661717621
2747,Male,Bachelor's Degree,"Jacksonville, FL",2006,FALSE,7766.547387957562,4,113546.04,FALSE,TRUE,41,1681,5450.2120763939365,10764.161333690134
2758,Male,Associate's Degree,"Oklahoma City, OK",2005,TRUE,2089.646293327163,4,92873.145,TRUE,TRUE,42,1764,2786.1937609469933,3482.744112115419
2765,Male,High School Diploma,"Oklahoma City, OK",2005,TRUE,1671.7169532728687,5,3482.7429,TRUE,TRUE,41,1681,4875.838165314441,2688.6777258067
2765,Male,High School Diploma,"Oklahoma City, OK",2006,TRUE,1635.0626374983042,5,223685.7,FALSE,TRUE,42,1764,3801.520510408061,2765.9817106469372
2792,Male,Bachelor's Degree,"Chicago, IL",2005,FALSE,4179.292667900005,5,17413.715,TRUE,TRUE,43,1849,6547.555808627567,8497.889351026273
2794,Male,High School Diploma,"Washington, DC",2005,FALSE,4179.292667900005,4,417929.18,TRUE,TRUE,43,1849,4527.567506625874,11841.323686081207
2794,Male,High School Diploma,"Washington, DC",2006,FALSE,4087.656872220828,4,283865.12,FALSE,TRUE,44,1936,5450.2120763939365,10082.892955475416
2798,Male,High School Diploma,"Washington, DC",2005,FALSE,4179.292667900005,4,5804.5715,FALSE,TRUE,50,2500,2646.8851167979756,6199.284740855156
2813,Male,High School Diploma,"Washington, DC",2005,TRUE,1393.0975401802398,4,19735.543,TRUE,FALSE,43,1849,5154.461348938839,6268.938994940324
2813,Male,High School Diploma,"Washington, DC",2006,TRUE,4087.656872220828,3,5677.3022,FALSE,FALSE,44,1936,3815.147476564133,4905.188492964309
2836,Male,High School Diploma,"Washington, DC",2005,TRUE,2786.1948559047646,4,-17413.715,FALSE,TRUE,43,1849,2228.9560147168886,2786.1937609469933
2850,Male,Associate's Degree,"Washington, DC",2005,FALSE,5572.389820137094,4,52241.147,TRUE,TRUE,49,2401,6268.938994940324,12955.805916800662
2852,Male,Associate's Degree,"Washington, DC",2005,FALSE,6965.484131548688,4,-4643.6584,TRUE,TRUE,45,2025,4179.292697179938,9612.368176867789
2867,Male,High School Diploma,"Washington, DC",2005,TRUE,1393.0975401802398,4,-9287.315700000001,TRUE,TRUE,39,1521,3482.744112115419,6733.303742275706
2871,Male,Associate's Degree,"Columbus, OH",2005,TRUE,2089.646293327163,4,66172.114,TRUE,FALSE,41,1681,3064.814731344643,6193.475634854508
2871,Male,Associate's Degree,"Columbus, OH",2006,TRUE,2043.8283963782792,4,0,FALSE,FALSE,42,1764,3406.3809441774815,7489.497613779975
2874,Male,High School Diploma,"Washington, DC",2005,TRUE,2368.265697377617,4,92873.145,TRUE,TRUE,42,1764,2786.1937609469933,3482.744112115419
2875,Male,High School Diploma,"Washington, DC",2005,FALSE,3482.742346343866,4,104482.29,TRUE,TRUE,45,2025,3482.744112115419,4179.292697179938
2875,Male,High School Diploma,"Washington, DC",2006,FALSE,3542.6364647913692,4,113546.04,FALSE,TRUE,46,2116,3678.8931078224255,4768.93457788451
2880,Male,High School Diploma,"Washington, DC",2005,TRUE,2089.646293327163,4,9287.3145,TRUE,TRUE,41,1681,2368.264529837018,2786.1937609469933
2880,Male,High School Diploma,"Washington, DC",2006,TRUE,1635.0626374983042,4,-22709.209000000003,FALSE,TRUE,42,1764,2452.59419880359,3406.3809441774815
2881,Male,High School Diploma,"Washington, DC",2005,TRUE,2786.1948559047646,4,81264.004,TRUE,FALSE,44,1936,2786.1937609469933,5154.461348938839
2881,Male,High School Diploma,"Washington, DC",2006,TRUE,4087.656872220828,4,124900.64,FALSE,FALSE,45,2025,4632.6776219812,6472.126472281249
2882,Male,High School Diploma,"Washington, DC",2005,TRUE,2089.646293327163,4,34827.429000000004,TRUE,TRUE,47,2209,2786.1937609469933,4179.292697179938
2900,Male,Associate's Degree,"New York, NY",2005,FALSE,3482.742346343866,4,127700.58000000002,TRUE,TRUE,45,2025,5015.150951785665,5456.296817074311
2921,Male,Bachelor's Degree,"New York, NY",2005,TRUE,1393.0975401802398,5,17413.715,TRUE,TRUE,37,1369,4457.909887140334,6222.5035204317255
2921,Male,Bachelor's Degree,"New York, NY",2006,TRUE,1362.5522752999839,5,11.354603999999998,FALSE,TRUE,38,1444,5177.700925744532,5904.3916472706305
2922,Male,Bachelor's Degree,"New York, NY",2005,TRUE,2786.1948559047646,5,191550.86,TRUE,TRUE,39,1521,4875.838165314441,7801.344737018549
2922,Male,Bachelor's Degree,"New York, NY",2006,TRUE,2725.1046035761487,5,37470.195,FALSE,TRUE,40,1600,5450.2120763939365,8061.76907798237
2970,Male,Bachelor's Degree,"New York, NY",2005,TRUE,2786.1948559047646,1,0,TRUE,TRUE,45,2025,3622.0541911635464,5549.1702996147815
2970,Male,Bachelor's Degree,"New York, NY",2006,TRUE,2725.1046035761487,4,-35199.272,FALSE,TRUE,46,2116,4223.91372405024,6358.576433057871
2997,Male,High School Diploma,"New York, NY",2005,TRUE,1393.0975401802398,3,190389.96,FALSE,FALSE,36,1296,4179.292697179938,5862.617762659304
2997,Male,High School Diploma,"New York, NY",2006,TRUE,1362.5522752999839,3,183944.61,FALSE,FALSE,37,1369,3542.636489610918,6585.668976620637
3017,Male,Elementary School,"New York, NY",2005,TRUE,696.5487565491742,4,150918.85,FALSE,TRUE,64,4096,2507.5744241154566,5658.293930202064
3098,Male,Bachelor's Degree,"New York, NY",2005,TRUE,1393.0975401802398,4,5804.5715,TRUE,TRUE,43,1849,3900.670342344329,6686.864776492294
3102,Male,Master's Degree,"New York, NY",2005,FALSE,6965.484131548688,4,-34827.432,TRUE,TRUE,43,1849,3482.744112115419,7197.669701155195
3102,Male,Master's Degree,"New York, NY",2006,FALSE,6812.76129178936,4,-90836.83600000001,TRUE,TRUE,44,1936,6540.254120225821,5450.2120763939365
3104,Male,Bachelor's Degree,"New York, NY",2005,TRUE,557.2386994902988,4,24959.658,TRUE,TRUE,39,1521,4039.9803213889354,5340.204889294932
3130,Male,Middle School,"Los Angeles, CA",2005,TRUE,2786.1948559047646,3,-5804.5715,TRUE,TRUE,53,2809,4736.531520017589,4625.080244693443
3139,Male,High School Diploma,"New York, NY",2005,TRUE,2089.646293327163,1,39471.089,TRUE,TRUE,43,1849,2228.9560147168886,5375.035727765979
3143,Female,Master's Degree,"New York, NY",2005,TRUE,2786.1948559047646,4,528216.02,TRUE,TRUE,41,1681,6686.864776492294,8764.907114672655
3143,Female,Master's Degree,"New York, NY",2006,TRUE,1362.5522752999839,4,-227092.06999999998,TRUE,TRUE,42,1764,8352.445924161362,9685.47771626037
3166,Male,Associate's Degree,"New York, NY",2005,TRUE,1114.4774206460997,4,11609.143,TRUE,FALSE,39,1521,2827.98719762642,4179.292697179938
3168,Male,Bachelor's Degree,"New York, NY",2005,TRUE,696.5487565491742,3,29022.856,TRUE,TRUE,37,1369,2995.1578090615,5073.194109037699
3168,Male,Bachelor's Degree,"New York, NY",2006,TRUE,681.2761244059466,3,3406.3817999999997,FALSE,TRUE,38,1444,3406.3809441774815,4314.750585030463
3171,Male,High School Diploma,"New York, NY",2005,TRUE,2786.1948559047646,4,-9287.3145,TRUE,TRUE,47,2209,4597.222059741935,7081.574153221742
