date,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2022-02-26,26/02/2022,Everton,Man City,0,1,A,0,0,D
2022-02-27,27/02/2022,West Ham,Wolves,1,0,H,0,0,D
2022-03-01,01/03/2022,Burnley,Leicester,0,2,A,0,0,D
2022-03-05,05/03/2022,Leicester,Leeds,1,0,H,0,0,D
2022-03-05,05/03/2022,Aston Villa,Southampton,4,0,H,2,0,H
2022-03-05,05/03/2022,Burnley,Chelsea,0,4,A,0,0,D
2022-03-05,05/03/2022,Newcastle,Brighton,2,1,H,2,0,H
2022-03-05,05/03/2022,Norwich,Brentford,1,3,A,0,1,A
2022-03-05,05/03/2022,Wolves,Crystal Palace,0,2,A,0,2,A
2022-03-05,05/03/2022,Liverpool,West Ham,1,0,H,1,0,H
2022-03-06,06/03/2022,Watford,Arsenal,2,3,A,1,2,A
2022-03-06,06/03/2022,Man City,Man United,4,1,H,2,1,H
2022-03-07,07/03/2022,Tottenham,Everton,5,0,H,3,0,H
2022-03-10,10/03/2022,Norwich,Chelsea,1,3,A,0,2,A
2022-03-10,10/03/2022,Southampton,Newcastle,1,2,A,1,1,D
2022-03-10,10/03/2022,Wolves,Watford,4,0,H,2,0,H
2022-03-10,10/03/2022,Leeds,Aston Villa,0,3,A,0,1,A
2022-03-12,12/03/2022,Brighton,Liverpool,0,2,A,0,1,A
2022-03-12,12/03/2022,Brentford,Burnley,2,0,H,0,0,D
2022-03-12,12/03/2022,Man United,Tottenham,3,2,H,2,1,H
2022-03-13,13/03/2022,Chelsea,Newcastle,1,0,H,0,0,D
2022-03-13,13/03/2022,Everton,Wolves,0,1,A,0,0,D
2022-03-13,13/03/2022,Leeds,Norwich,2,1,H,1,0,H
2022-03-13,13/03/2022,Southampton,Watford,1,2,A,1,2,A
2022-03-13,13/03/2022,West Ham,Aston Villa,2,1,H,0,0,D
2022-03-13,13/03/2022,Arsenal,Leicester,2,0,H,1,0,H
2022-03-14,14/03/2022,Crystal Palace,Man City,0,0,D,0,0,D
2022-03-16,16/03/2022,Brighton,Tottenham,0,2,A,0,1,A
2022-03-16,16/03/2022,Arsenal,Liverpool,0,2,A,0,0,D
2022-03-17,17/03/2022,Everton,Newcastle,1,0,H,0,0,D
2022-03-18,18/03/2022,Wolves,Leeds,2,3,A,2,0,H
2022-03-19,19/03/2022,Aston Villa,Arsenal,0,1,A,0,1,A
2022-03-20,20/03/2022,Leicester,Brentford,2,1,H,2,0,H
2022-03-20,20/03/2022,Tottenham,West Ham,3,1,H,2,1,H
2022-04-02,02/04/2022,Liverpool,Watford,2,0,H,1,0,H
2022-04-02,02/04/2022,Brighton,Norwich,0,0,D,0,0,D
2022-04-02,02/04/2022,Burnley,Man City,0,2,A,0,2,A
2022-04-02,02/04/2022,Chelsea,Brentford,1,4,A,0,0,D
2022-04-02,02/04/2022,Leeds,Southampton,1,1,D,1,0,H
2022-04-02,02/04/2022,Wolves,Aston Villa,2,1,H,2,0,H
2022-04-02,02/04/2022,Man United,Leicester,1,1,D,0,0,D
2022-04-03,03/04/2022,West Ham,Everton,2,1,H,1,0,H
2022-04-03,03/04/2022,Tottenham,Newcastle,5,1,H,1,1,D
2022-04-04,04/04/2022,Crystal Palace,Arsenal,3,0,H,2,0,H
2022-04-06,06/04/2022,Burnley,Everton,3,2,H,1,2,A
2022-04-08,08/04/2022,Newcastle,Wolves,1,0,H,0,0,D
2022-04-09,09/04/2022,Everton,Man United,1,0,H,1,0,H
2022-04-09,09/04/2022,Arsenal,Brighton,1,2,A,0,1,A
2022-04-09,09/04/2022,Southampton,Chelsea,0,6,A,0,4,A
2022-04-09,09/04/2022,Watford,Leeds,0,3,A,0,1,A
2022-04-09,09/04/2022,Aston Villa,Tottenham,0,4,A,0,1,A
2022-04-10,10/04/2022,Brentford,West Ham,2,0,H,0,0,D
2022-04-10,10/04/2022,Leicester,Crystal Palace,2,1,H,2,0,H
2022-04-10,10/04/2022,Norwich,Burnley,2,0,H,1,0,H
2022-04-10,10/04/2022,Man City,Liverpool,2,2,D,2,1,H
2022-04-16,16/04/2022,Tottenham,Brighton,0,1,A,0,0,D
2022-04-16,16/04/2022,Man United,Norwich,3,2,H,2,1,H
2022-04-16,16/04/2022,Southampton,Arsenal,1,0,H,1,0,H
2022-04-16,16/04/2022,Watford,Brentford,1,2,A,0,1,A
2022-04-17,17/04/2022,Newcastle,Leicester,2,1,H,1,1,D
