id_player,Born,City,Cntry,Nat,Ht,Wt,Last_Name,First_Name,Position,Team,GP,G,A,TOI,TOI_GP
479,01.09.1995,Halifax,CAN,CAN,72,205,MacKinnon,Nathan,C/RW,COL,82,16,37,98124,19.95
480,18.01.1997,Olten,CHE,CHE,69,177,Malgin,Denis,C,FLA,47,6,4,31692,11.23
481,31.07.1986,Magnitogorsk,RUS,RUS,75,195,Malkin,Evgeni,C/RW,PIT,62,33,39,69263,18.62
482,30.04.1995,Buffalo,USA,USA,72,190,Malone,Sean,C,BUF,1,0,0,732,12.2
483,04.06.1990,Prince George,CAN,CAN,73,205,Manning,Brandon,D,PHI,65,3,9,70419,18.05
484,07.10.1991,Hinsdale,USA,CAN,75,215,Manson,Josh,D,ANA,82,5,12,91639,18.63
485,16.09.1994,Longueuil,CAN,CAN,77,221,Mantha,Anthony,RW,DET,60,17,19,57246,15.88
486,11.05.1988,Halifax,CAN,CAN,69,181,Marchand,Brad,LW/C,BOS,80,39,46,93295,19.35
487,02.01.1992,Moscow,RUS,RUS,75,210,Marchenko,Alexey,D,DET/TOR,41,1,7,41700,16.95
488,27.12.1990,Cap-Rouge,CAN,CAN,69,174,Marchessault,Jonathan,C,FLA,75,30,21,76099,16.92
489,18.02.1992,Kosice,SVK,SVK,76,210,Marincin,Martin,D,TOR,25,1,6,27071,18.05
490,20.12.1978,Voskresensk,RUS,RUS,72,200,Markov,Andrei,D,MTL,62,6,30,81230,21.83
491,15.09.1979,Aneroid,CAN,CAN,74,215,Marleau,Patrick,LW/C,S.J,82,27,19,84416,17.18
492,05.05.1997,Markham,CAN,CAN,72,170,Marner,Mitchell,C/RW,TOR,77,19,42,77663,16.73
493,23.04.1988,St. Louis,USA,USA,75,227,Maroon,Patrick,LW,EDM,81,27,15,81345,16.73
494,08.05.1989,Windsor,CAN,CAN,75,220,Martin,Matt,LW/RW,TOR,82,5,4,43776,8.85
495,05.03.1981,Minneapolis,USA,USA,73,200,Martin,Paul,D,S.J,81,4,22,93441,19.23
496,26.07.1987,Rochester Hills,USA,USA,73,212,Martinez,Alec,D,L.A,82,9,30,106475,21.63
497,25.07.1992,Brandon,CAN,CAN,72,202,Martinook,Jordan,LW/C,ARI,77,11,14,72438,15.68
498,13.06.1990,Bærum,NOR,NOR,75,220,Martinsen,Andreas,LW/C,COL/MTL,64,3,4,38220,9.95
499,27.02.1994,Pointe-Claire,CAN,CAN,74,192,Matheson,Michael,D,FLA,81,7,10,102317,21.05
500,17.09.1997,Scottsdale,USA,USA,75,216,Matthews,Auston,C,TOR,82,40,29,86745,17.53
501,19.02.1988,Mississauga,CAN,CAN,76,231,Matthias,Shawn,LW/C,WPG,45,8,4,36612,13.57
