company,Date,Open,High,Low,Close,Adj Close,Volume
GOOG,2023-01-17,92.779999,92.970001,90.839996,92.160004,92.160004,22935800
META,2023-01-17,136.179993,136.75,134.25,135.360001,135.216537,21147600
MSFT,2023-01-17,237.970001,240.910004,237.089996,240.350006,237.797821,29831300
NFLX,2023-01-17,331.079987,332.5,323.600006,326.220001,326.220001,9247000
NVDA,2023-01-17,168.990005,177.279999,168.990005,177.020004,176.933197,51110200
TSLA,2023-01-17,125.699997,131.699997,125.019997,131.490005,131.490005,186477000
AMZN,2023-01-18,97.25,99.32,95.379997,95.459999,95.459999,79570400
APPL,2023-01-18,136.820007,138.610001,135.029999,135.210007,134.287094,69672800
GOOG,2023-01-18,92.940002,93.587997,91.400002,91.779999,91.779999,19641600
META,2023-01-18,135.809998,137.25,132.800003,133.020004,132.879013,20215500
MSFT,2023-01-18,241.570007,242.380005,235.520004,235.809998,233.306015,30028700
NFLX,2023-01-18,326.75,330.079987,321.25,326.329987,326.329987,7814100
NVDA,2023-01-18,176.669998,178.729996,172.820007,173.770004,173.684784,43962400
TSLA,2023-01-18,136.559998,136.679993,127.010002,128.779999,128.779999,195680300
AMZN,2023-01-19,94.739998,95.440002,92.860001,93.68,93.68,69002700
APPL,2023-01-19,134.080002,136.25,133.770004,135.270004,134.34668,58280400
GOOG,2023-01-19,91.389999,94.400002,91.379997,93.910004,93.910004,28707700
META,2023-01-19,132.490005,137.449997,132.139999,136.149994,136.005692,28625200
MSFT,2023-01-19,233.779999,235.520004,230.679993,231.929993,229.467224,28623000
NFLX,2023-01-19,322.570007,324.890015,313.390015,315.779999,315.779999,18008200
NVDA,2023-01-19,170.360001,171.970001,167.309998,167.649994,167.567764,45293200
TSLA,2023-01-19,127.260002,129.990005,124.309998,127.169998,127.169998,170291900
AMZN,2023-01-20,93.860001,97.349998,93.199997,97.25,97.25,67481500
APPL,2023-01-20,135.279999,138.020004,134.220001,137.869995,136.928925,80223600
GOOG,2023-01-20,95.949997,99.419998,95.910004,99.279999,99.279999,53704800
META,2023-01-20,135.889999,139.940002,134.610001,139.369995,139.222275,28688600
MSFT,2023-01-20,234.860001,240.740005,234.509995,240.220001,237.669189,35389800
NFLX,2023-01-20,336.790009,344,332.630005,342.5,342.5,28430300
NVDA,2023-01-20,170.110001,178.559998,168.25,178.389999,178.302521,56496700
TSLA,2023-01-20,128.679993,133.509995,127.349998,133.419998,133.419998,138858100
AMZN,2023-01-23,97.559998,97.779999,95.860001,97.519997,97.519997,76501100
APPL,2023-01-23,138.119995,143.320007,137.899994,141.110001,140.146835,81760300
GOOG,2023-01-23,99.129997,101.400002,98.75,101.209999,101.209999,31791800
META,2023-01-23,139.289993,143.759995,138.660004,143.270004,143.118149,27470100
MSFT,2023-01-23,241.100006,245.169998,239.649994,242.580002,240.00415,31934000
NFLX,2023-01-23,341.720001,362.25,340.630005,357.420013,357.420013,15646900
NVDA,2023-01-23,180.639999,192.449997,178.179993,191.929993,191.835861,65516300
TSLA,2023-01-23,135.869995,145.380005,134.270004,143.75,143.75,203119200
AMZN,2023-01-24,96.93,98.089996,96,96.32,96.32,66929500
APPL,2023-01-24,140.309998,143.160004,140.300003,142.529999,141.557114,66435100
GOOG,2023-01-24,99.550003,101.089996,98.699997,99.209999,99.209999,27391400
META,2023-01-24,141.690002,145,141.360001,143.139999,142.988281,21970200
MSFT,2023-01-24,242.5,243.949997,240.440002,242.039993,239.469879,40234400
